,,close,date,high,low,market_cap,open,volume
Historical data for Ripple,15,0.485081,2018-04-01,0.5154369999999999,0.466223,20088900000,0.5138539999999999,297869000
Historical data for Ripple,16,0.512353,2018-03-31,0.5294059999999999,0.5051669999999999,19962300000,0.510617,293208000
Historical data for Ripple,17,0.5095649999999999,2018-03-30,0.531276,0.48436199999999996,20065800000,0.513268,518219000
Historical data for Ripple,18,0.5115109999999999,2018-03-29,0.57864,0.5115109999999999,22587400000,0.5777669999999999,420550000
Historical data for Ripple,19,0.578002,2018-03-28,0.594023,0.572828,22577300000,0.577511,258298000
Historical data for Ripple,20,0.577917,2018-03-27,0.604332,0.565132,23418400000,0.599026,351381000
Historical data for Ripple,21,0.599463,2018-03-26,0.6441209999999999,0.5859219999999999,25125200000,0.642683,384505000
Historical data for Ripple,22,0.641875,2018-03-25,0.6572129999999999,0.6319009999999999,24966800000,0.638632,229352000
Historical data for Ripple,23,0.641265,2018-03-24,0.679608,0.640516,25263200000,0.646214,390740000
Historical data for Ripple,24,0.643174,2018-03-23,0.663111,0.625258,25923800000,0.663111,387164000
Historical data for Ripple,25,0.662743,2018-03-22,0.701351,0.636741,27097900000,0.693145,449042000
Historical data for Ripple,26,0.693664,2018-03-21,0.7206100000000001,0.6791619999999999,27876200000,0.713055,527324000
Historical data for Ripple,27,0.709808,2018-03-20,0.7367589999999999,0.673427,28802900000,0.7367589999999999,814276000
Historical data for Ripple,28,0.7490800000000001,2018-03-19,0.7490800000000001,0.640012,26274600000,0.672126,1096930000
Historical data for Ripple,29,0.658777,2018-03-18,0.6775909999999999,0.5488149999999999,24802400000,0.634466,923606000
Historical data for Bitcoin Cash,0,766.47,2018-04-16,797.88,745.73,13338000000,781.12,382080000
Historical data for Bitcoin Cash,1,780.83,2018-04-15,785.35,741.91,12667100000,741.91,327336000
Historical data for Bitcoin Cash,2,738.99,2018-04-14,760.48,723.22,12611200000,738.72,267415000
Historical data for Bitcoin Cash,3,738.3,2018-04-13,781.13,725.4,12559600000,735.78,384095000
Historical data for Bitcoin Cash,4,734.48,2018-04-12,734.48,658.93,11374200000,666.39,417017000
Historical data for Bitcoin Cash,5,666.58,2018-04-11,666.58,648.9,11074400000,648.9,252158000
Historical data for Bitcoin Cash,6,649.62,2018-04-10,657.01,628.86,10882100000,637.7,225054000
Historical data for Bitcoin Cash,7,637.03,2018-04-09,680.6,627.32,11194800000,656.09,254947000
Historical data for Bitcoin Cash,8,655.26,2018-04-08,659.81,640.89,10934300000,640.89,198906000
Historical data for Bitcoin Cash,9,640.35,2018-04-07,652.59,610.41,10426600000,611.2,231143000
Historical data for Bitcoin Cash,10,610.43,2018-04-06,646.08,603.71,10948500000,641.86,225186000
Historical data for Bitcoin Cash,11,646.04,2018-04-05,655.52,620.1,11062800000,648.63,243989000
Historical data for Bitcoin Cash,12,649.2,2018-04-04,711.27,638.01,12116300000,710.47,282960000
Historical data for Bitcoin Cash,13,712.88,2018-04-03,719.77,660.35,11325100000,664.15,303771000
Historical data for Bitcoin Cash,14,662.77,2018-04-02,686.02,641.43,10988300000,644.46,282036000
Historical data for Bitcoin Cash,15,643.03,2018-04-01,699.05,629.93,11729600000,688.01,318440000
Historical data for Bitcoin Cash,16,685.25,2018-03-31,735.82,683.99,11892100000,697.62,306972000
Historical data for Bitcoin Cash,17,697.01,2018-03-30,766.97,677.53,12142900000,712.4,416567000
Historical data for Bitcoin Cash,18,714.27,2018-03-29,867.31,703.18,14684500000,861.61,452656000
Historical data for Bitcoin Cash,19,860.52,2018-03-28,897.63,852.88,14934500000,876.36,337268000
Historical data for Bitcoin Cash,20,876.33,2018-03-27,926.38,876.33,15625100000,916.99,339011000
Historical data for Bitcoin Cash,21,919.25,2018-03-26,975.61,887.0,16490800000,967.89,347366000
Historical data for Bitcoin Cash,22,966.88,2018-03-25,991.07,965.52,16586300000,973.6,237008000
Historical data for Bitcoin Cash,23,982.3,2018-03-24,1030.43,982.3,17513300000,1028.12,264080000
Historical data for Bitcoin Cash,24,1019.43,2018-03-23,1019.43,966.4,17233800000,1011.83,303600000
Historical data for Bitcoin Cash,25,1011.52,2018-03-22,1064.22,992.55,17597100000,1033.26,344283000
Historical data for Bitcoin Cash,26,1033.45,2018-03-21,1082.35,1016.37,18153200000,1066.03,389291000
Historical data for Bitcoin Cash,27,1059.12,2018-03-20,1072.42,958.51,16996000000,998.17,503262000
Historical data for Bitcoin Cash,28,994.67,2018-03-19,997.28,915.51,16048000000,942.6,425419000
Historical data for Bitcoin Cash,29,938.12,2018-03-18,948.28,851.61,16143000000,948.28,435070000
Historical data for Litecoin,0,128.34,2018-04-16,132.63,125.24,7403400000,131.97,290855000
Historical data for Litecoin,1,132.04,2018-04-15,132.04,126.67,7104120000,126.67,274427000
Historical data for Litecoin,2,126.29,2018-04-14,129.34,124.77,7021250000,125.22,258806000
Historical data for Litecoin,3,125.35,2018-04-13,133.04,124.06,7246460000,129.27,458040000
Historical data for Litecoin,4,129.34,2018-04-12,129.34,113.55,6629030000,118.29,587511000
Historical data for Litecoin,5,118.29,2018-04-11,119.09,113.33,6403270000,114.29,230069000
Historical data for Litecoin,6,114.26,2018-04-10,115.4,112.52,6453330000,115.21,202879000
Historical data for Litecoin,7,114.99,2018-04-09,122.43,113.33,6595640000,117.78,260171000
Historical data for Litecoin,8,117.67,2018-04-08,118.55,115.95,6510420000,116.29,194664000
Historical data for Litecoin,9,116.26,2018-04-07,119.38,113.09,6332130000,113.14,211470000
Historical data for Litecoin,10,113.16,2018-04-06,119.93,112.79,6648250000,118.81,233190000
Historical data for Litecoin,11,119.13,2018-04-05,121.29,114.47,6612510000,118.21,294022000
Historical data for Litecoin,12,118.41,2018-04-04,134.61,116.58,7488700000,133.91,380351000
Historical data for Litecoin,13,134.47,2018-04-03,136.45,118.58,6681650000,119.51,375409000
Historical data for Litecoin,14,119.31,2018-04-02,121.42,114.72,6441120000,115.24,271703000
Historical data for Litecoin,15,115.22,2018-04-01,117.83,110.52,6532610000,116.91,274182000
Historical data for Litecoin,16,116.61,2018-03-31,123.87,116.18,6627590000,118.64,295439000
Historical data for Litecoin,17,118.6,2018-03-30,124.9,110.26,6411740000,114.8,468439000
Historical data for Litecoin,18,114.68,2018-03-29,132.61,113.93,7365950000,131.93,476804000
Historical data for Litecoin,19,131.75,2018-03-28,140.13,131.03,7563030000,135.49,328374000
Historical data for Litecoin,20,135.78,2018-03-27,149.62,135.78,8312700000,148.96,385104000
Historical data for Litecoin,21,149.22,2018-03-26,160.99,143.12,8935560000,160.16,407135000
Historical data for Litecoin,22,160.08,2018-03-25,162.72,157.52,8860500000,158.86,241431000
Historical data for Litecoin,23,159.63,2018-03-24,168.65,159.63,9397290000,168.53,290270000
Historical data for Litecoin,24,167.83,2018-03-23,167.83,157.26,9118940000,163.58,348056000
Historical data for Litecoin,25,163.67,2018-03-22,172.31,161.11,9403220000,168.72,404997000
Historical data for Litecoin,26,169.05,2018-03-21,175.26,166.62,9447220000,169.56,462536000
Historical data for Litecoin,27,168.82,2018-03-20,173.3,156.81,8997260000,161.52,492892000
Historical data for Litecoin,28,161.14,2018-03-19,163.05,151.66,8658190000,155.47,504833000
Historical data for Litecoin,29,154.07,2018-03-18,156.15,138.02,8492470000,152.54,595955000
Historical data for Cardano,0,0.256646,2018-04-16,0.256646,0.211808,5752930000,0.221889,678781000
Historical data for Cardano,1,0.22139000000000003,2018-04-15,0.223444,0.19994,5221430000,0.20138899999999998,169798000
Historical data for Cardano,2,0.200853,2018-04-14,0.20649499999999998,0.194708,5151050000,0.198675,113212000
Historical data for Cardano,3,0.200532,2018-04-13,0.218382,0.196567,5487000000,0.211632,230413000
Historical data for Cardano,4,0.21223299999999998,2018-04-12,0.214525,0.16453,4323520000,0.166757,488007000
Historical data for Cardano,5,0.16602899999999998,2018-04-11,0.166431,0.154079,4064350000,0.15676099999999998,91793300
Historical data for Cardano,6,0.15634699999999999,2018-04-10,0.15782000000000002,0.149316,3973070000,0.15324000000000002,55981300
Historical data for Cardano,7,0.153106,2018-04-09,0.165656,0.147478,4072980000,0.15709399999999998,93021900
Historical data for Cardano,8,0.156599,2018-04-08,0.15845199999999998,0.14882499999999999,3858610000,0.14882499999999999,51093100
Historical data for Cardano,9,0.14879399999999998,2018-04-07,0.151469,0.14382899999999998,3756440000,0.14488499999999999,48205400
Historical data for Cardano,10,0.144451,2018-04-06,0.150481,0.14183,3847430000,0.148394,51827500
Historical data for Cardano,11,0.148758,2018-04-05,0.15620399999999998,0.14374199999999998,4034050000,0.15559199999999998,113407000
Historical data for Cardano,12,0.155356,2018-04-04,0.179172,0.15362599999999998,4437630000,0.171158,154801000
Historical data for Cardano,13,0.172447,2018-04-03,0.17343799999999998,0.155254,4092940000,0.157864,155987000
Historical data for Cardano,14,0.156385,2018-04-02,0.158797,0.14859,3932900000,0.151691,102697000
Historical data for Cardano,15,0.15076799999999999,2018-04-01,0.160825,0.141343,4060110000,0.156597,100833000
Historical data for Cardano,16,0.155919,2018-03-31,0.16055899999999998,0.14485699999999999,3814260000,0.147115,113124000
Historical data for Cardano,17,0.147209,2018-03-30,0.151782,0.136317,3802310000,0.146654,119874000
Historical data for Cardano,18,0.14688199999999998,2018-03-29,0.16061399999999998,0.14571199999999998,4152040000,0.16014299999999998,103465000
Historical data for Cardano,19,0.160058,2018-03-28,0.165599,0.154465,4023780000,0.155196,60260800
Historical data for Cardano,20,0.15492599999999998,2018-03-27,0.169225,0.150164,4361310000,0.168215,107510000
Historical data for Cardano,21,0.16780599999999998,2018-03-26,0.185421,0.161128,4769560000,0.18396,117497000
Historical data for Cardano,22,0.184605,2018-03-25,0.189128,0.1817,4884550000,0.18839599999999998,59349400
Historical data for Cardano,23,0.18920099999999998,2018-03-24,0.20119,0.18301699999999999,4896170000,0.18884399999999998,132660000
Historical data for Cardano,24,0.18925899999999998,2018-03-23,0.202812,0.181424,5245000000,0.20229799999999998,148850000
Historical data for Cardano,25,0.203481,2018-03-22,0.221969,0.192132,5584770000,0.21540299999999998,201540000
Historical data for Cardano,26,0.213189,2018-03-21,0.22750199999999998,0.201448,5323220000,0.205315,257686000
Historical data for Cardano,27,0.204947,2018-03-20,0.212004,0.18029399999999998,5015520000,0.19344699999999998,249683000
Historical data for Cardano,28,0.197648,2018-03-19,0.197648,0.156935,4167750000,0.160749,321964000
Historical data for Cardano,29,0.156155,2018-03-18,0.161959,0.127046,3990970000,0.15393099999999998,189689000
Historical data for Stellar,0,0.28415599999999996,2018-04-16,0.30166699999999996,0.27260799999999996,5386700000,0.29023699999999997,90408600
Historical data for Stellar,1,0.290722,2018-04-15,0.29639499999999996,0.250979,4658090000,0.250979,129731000
Historical data for Stellar,2,0.250668,2018-04-14,0.259121,0.2426,4553400000,0.245338,44754800
Historical data for Stellar,3,0.24629,2018-04-13,0.26708000000000004,0.23292000000000002,4474920000,0.241112,112587000
Historical data for Stellar,4,0.24212000000000003,2018-04-12,0.24226399999999998,0.20699499999999998,3919100000,0.211258,103292000
Historical data for Stellar,5,0.212337,2018-04-11,0.212465,0.198926,3701460000,0.19952599999999998,40041100
Historical data for Stellar,6,0.199344,2018-04-10,0.201289,0.196407,3662770000,0.19744399999999998,26841200
Historical data for Stellar,7,0.19733299999999998,2018-04-09,0.21345499999999998,0.19283699999999998,3834820000,0.20671799999999999,36684300
Historical data for Stellar,8,0.20637699999999998,2018-04-08,0.20787699999999998,0.20127899999999999,3743890000,0.201817,18973800
Historical data for Stellar,9,0.20185899999999998,2018-04-07,0.20575000000000002,0.19289099999999998,3590470000,0.193547,27242100
Historical data for Stellar,10,0.193317,2018-04-06,0.199645,0.18909,3669020000,0.19778099999999998,30056300
Historical data for Stellar,11,0.19794,2018-04-05,0.20915299999999998,0.191903,3842330000,0.207124,46694000
Historical data for Stellar,12,0.20410799999999998,2018-04-04,0.23657699999999998,0.20238,4335890000,0.233729,58482100
Historical data for Stellar,13,0.23569099999999998,2018-04-03,0.239845,0.225069,4192290000,0.225992,76510100
Historical data for Stellar,14,0.224878,2018-04-02,0.23338299999999998,0.204698,3842400000,0.20713099999999998,70195700
Historical data for Stellar,15,0.206582,2018-04-01,0.21339000000000002,0.190688,3853390000,0.207723,43075500
Historical data for Stellar,16,0.206778,2018-03-31,0.22078000000000003,0.18903899999999998,3506780000,0.18903899999999998,82895900
Historical data for Stellar,17,0.18873299999999998,2018-03-30,0.19935699999999998,0.17493399999999998,3535400000,0.190582,37767000
Historical data for Stellar,18,0.190819,2018-03-29,0.22146000000000002,0.187853,4066780000,0.21922599999999998,44352600
Historical data for Stellar,19,0.219251,2018-03-28,0.225843,0.215086,4004870000,0.215889,21717600
Historical data for Stellar,20,0.216033,2018-03-27,0.22913799999999998,0.20523000000000002,4239960000,0.228565,37693300
Historical data for Stellar,21,0.22886099999999998,2018-03-26,0.246144,0.217238,4437990000,0.239258,44406300
Historical data for Stellar,22,0.239952,2018-03-25,0.24273899999999998,0.230378,4323060000,0.233062,31527600
Historical data for Stellar,23,0.235422,2018-03-24,0.245778,0.234044,4409910000,0.23774499999999998,37806800
Historical data for Stellar,24,0.236147,2018-03-23,0.242993,0.224581,4507260000,0.242993,49937100
Historical data for Stellar,25,0.24321199999999998,2018-03-22,0.259328,0.228713,4733130000,0.25517,53777200
Historical data for Stellar,26,0.254636,2018-03-21,0.271789,0.24978099999999998,5020630000,0.27067,93970500
Historical data for Stellar,27,0.267968,2018-03-20,0.282082,0.23557399999999998,4624530000,0.249992,88101600
Historical data for Stellar,28,0.250226,2018-03-19,0.250226,0.21295499999999998,4113520000,0.22236799999999998,93820800
Historical data for Stellar,29,0.220473,2018-03-18,0.222828,0.158913,3818300000,0.20640899999999998,91400500
Historical data for IOTA,0,1.62,2018-04-16,1.69,1.52,4624260000,1.6600000000000001,83770400
Historical data for IOTA,1,1.67,2018-04-15,1.69,1.44,3992880000,1.44,135481000
Historical data for IOTA,2,1.43,2018-04-14,1.45,1.29,3647790000,1.31,47173200
Historical data for IOTA,3,1.32,2018-04-13,1.5,1.28,3707450000,1.33,90093700
Historical data for IOTA,4,1.34,2018-04-12,1.38,1.04,2961960000,1.07,81319300
Historical data for IOTA,5,1.07,2018-04-11,1.07,1.0,2801700000,1.01,23924000
Historical data for IOTA,6,1.01,2018-04-10,1.01,0.967799,2753270000,0.990551,21163200
Historical data for IOTA,7,0.989505,2018-04-09,1.06,0.9672569999999999,2842810000,1.02,25263700
Historical data for IOTA,8,1.02,2018-04-08,1.05,0.9810089999999999,2726750000,0.9810089999999999,23121200
Historical data for IOTA,9,0.9847189999999999,2018-04-07,1.01,0.934562,2600120000,0.935452,13535500
Historical data for IOTA,10,0.935367,2018-04-06,0.995309,0.9292039999999999,2723200000,0.979734,13385200
Historical data for IOTA,11,0.982953,2018-04-05,0.9909479999999999,0.941145,2752430000,0.9902489999999999,19414000
Historical data for IOTA,12,0.990158,2018-04-04,1.11,0.9709669999999999,3079660000,1.11,20877700
Historical data for IOTA,13,1.11,2018-04-03,1.12,1.03,2872410000,1.03,30602800
Historical data for IOTA,14,1.03,2018-04-02,1.06,0.990856,2766120000,0.995176,26124500
Historical data for IOTA,15,0.994798,2018-04-01,1.1,0.956615,3004660000,1.08,35953200
Historical data for IOTA,16,1.08,2018-03-31,1.16,1.07,3088360000,1.11,28350300
Historical data for IOTA,17,1.11,2018-03-30,1.1400000000000001,1.05,3034950000,1.09,37597100
Historical data for IOTA,18,1.09,2018-03-29,1.19,1.07,3315390000,1.19,38707000
Historical data for IOTA,19,1.19,2018-03-28,1.24,1.16,3258650000,1.17,24150200
Historical data for IOTA,20,1.17,2018-03-27,1.24,1.16,3431480000,1.23,29726700
Historical data for IOTA,21,1.24,2018-03-26,1.33,1.18,3675430000,1.32,32849900
Historical data for IOTA,22,1.32,2018-03-25,1.35,1.28,3654020000,1.31,26291200
Historical data for IOTA,23,1.33,2018-03-24,1.4100000000000001,1.33,3762660000,1.35,29655100
Historical data for IOTA,24,1.34,2018-03-23,1.34,1.25,3684080000,1.33,30507500
Historical data for IOTA,25,1.33,2018-03-22,1.4100000000000001,1.27,3807750000,1.37,35665500
Historical data for IOTA,26,1.37,2018-03-21,1.49,1.34,4037020000,1.45,57554800
Historical data for IOTA,27,1.44,2018-03-20,1.52,1.3,3697640000,1.33,67039500
Historical data for IOTA,28,1.33,2018-03-19,1.34,1.19,3437690000,1.24,55966600
Historical data for IOTA,29,1.23,2018-03-18,1.29,1.06,3168980000,1.1400000000000001,111700000
Historical data for NEO,0,66.7,2018-04-16,70.77,64.4,4557690000,70.12,124354000
Historical data for NEO,1,70.33,2018-04-15,70.33,64.33,4181560000,64.33,126368000
Historical data for NEO,2,63.86,2018-04-14,65.45,61.75,4043730000,62.21,90798000
Historical data for NEO,3,62.21,2018-04-13,68.1,61.56,4332710000,66.66,177671000
Historical data for NEO,4,66.71,2018-04-12,66.71,54.91,3794850000,58.38,272689000
Historical data for NEO,5,58.54,2018-04-11,59.46,52.32,3417620000,52.58,178201000
Historical data for NEO,6,52.62,2018-04-10,53.2,49.67,3458030000,53.2,90631300
Historical data for NEO,7,52.93,2018-04-09,56.66,49.37,3209100000,49.37,267977000
Historical data for NEO,8,49.19,2018-04-08,49.19,46.54,3025190000,46.54,44671100
Historical data for NEO,9,46.42,2018-04-07,47.81,44.83,2919100000,44.91,49786600
Historical data for NEO,10,44.94,2018-04-06,47.48,44.59,3058490000,47.05,46850100
Historical data for NEO,11,47.2,2018-04-05,47.85,45.85,3084660000,47.46,63650600
Historical data for NEO,12,47.55,2018-04-04,53.63,46.95,3469680000,53.38,73956800
Historical data for NEO,13,53.64,2018-04-03,54.13,48.63,3183760000,48.98,84566300
Historical data for NEO,14,48.82,2018-04-02,50.3,46.79,3077220000,47.34,62854800
Historical data for NEO,15,47.3,2018-04-01,50.59,45.3,3272060000,50.34,73349000
Historical data for NEO,16,50.13,2018-03-31,52.91,49.97,3278240000,50.43,68031800
Historical data for NEO,17,50.31,2018-03-30,53.58,49.1,3370350000,51.85,114151000
Historical data for NEO,18,51.88,2018-03-29,57.4,51.45,3724950000,57.31,110023000
Historical data for NEO,19,57.24,2018-03-28,60.12,55.34,3596940000,55.34,81977500
Historical data for NEO,20,55.53,2018-03-27,60.02,52.51,3866570000,59.49,145189000
Historical data for NEO,21,59.74,2018-03-26,65.94,55.92,4251170000,65.4,144889000
Historical data for NEO,22,65.43,2018-03-25,67.44,63.87,4237240000,65.19,82989200
Historical data for NEO,23,65.73,2018-03-24,70.24,65.73,4489330000,69.07,102618000
Historical data for NEO,24,68.56,2018-03-23,69.61,63.92,4524350000,69.61,137021000
Historical data for NEO,25,69.64,2018-03-22,75.07,66.92,4732380000,72.81,152648000
Historical data for NEO,26,72.95,2018-03-21,77.79,71.52,4966720000,76.41,177773000
Historical data for NEO,27,76.03,2018-03-20,79.56,67.59,4800040000,73.85,255944000
Historical data for NEO,28,73.44,2018-03-19,73.44,62.74,4367610000,67.19,274503000
Historical data for NEO,29,65.5,2018-03-18,66.7,49.39,3976490000,61.18,249146000
Historical data for Monero,0,194.1,2018-04-16,203.01,189.36,3194640000,200.5,41090800
Historical data for Monero,1,200.62,2018-04-15,203.93,190.91,3041250000,190.91,50712700
Historical data for Monero,2,190.42,2018-04-14,197.19,188.15,3004320000,188.64,42979700
Historical data for Monero,3,188.87,2018-04-13,201.17,186.78,3057950000,192.04,56740700
Historical data for Monero,4,191.94,2018-04-12,191.94,166.3,2689210000,168.92,62352400
Historical data for Monero,5,169.16,2018-04-11,169.16,164.53,2634970000,165.55,41345600
Historical data for Monero,6,165.57,2018-04-10,167.38,164.4,2658460000,167.06,31208400
Historical data for Monero,7,167.06,2018-04-09,179.13,164.26,2768980000,174.06,24546500
Historical data for Monero,8,173.97,2018-04-08,174.15,169.3,2703720000,169.99,24114000
Historical data for Monero,9,170.12,2018-04-07,172.74,162.27,2580780000,162.27,30577500
Historical data for Monero,10,162.0,2018-04-06,175.37,161.92,2741770000,172.41,42452500
Historical data for Monero,11,173.31,2018-04-05,174.89,164.8,2703660000,170.05,40641000
Historical data for Monero,12,170.1,2018-04-04,189.47,169.1,3010550000,189.4,39301200
Historical data for Monero,13,189.53,2018-04-03,191.1,177.57,2821900000,177.57,36809600
Historical data for Monero,14,177.51,2018-04-02,181.52,175.06,2794350000,175.87,27927800
